title,description,impact,source
"PAP elects top decision-making body, Chee Hong Tat joins CEC for first time","The latest central executive committee will lead the ruling People's Action Party into the next general election, which must be held by November next year.",2,cna_latest
"With high stakes in next general election, PAP can no longer 'afford to stay in the background': Lawrence Wong","The People's Action Party must come out to explain policies and mobilise citizens, says the party's deputy secretary-general and prime minister of Singapore.",1,cna_latest
Orderly transitions in political leadership cannot be taken for granted: SM Lee in last speech as PAP chief,"Prime Minister Lawrence Wong taking over as the People's Action Party's secretary-general will complete Singapore's latest smooth leadership transition, says Lee Hsien Loong.",2,cna_latest
Wanderers coach Stajcic brands Mata agent 'cowardly' after criticism,,2,cna_latest
Quesada frustrated by Italy defeat to All Blacks but sees improvement,,2,cna_latest
Jordan happy with All Blacks arm wrestle win over Italy,,1,cna_latest
Flick says Barcelona played bad and were lucky to draw at Celta Vigo,,1,cna_latest
Actress Cynthia Erivo wore her fitness watch underneath her Wicked costume,Cynthia Erivo was determined to keep up her daily step count on the set of Wicked and hid her fitness watch underneath her witch outfit.,1,cna_latest
"Secrets for healthy flying from doctors who treat pilots: Before booking a flight, at the airport, while in the air",Heres what specialists in aerospace medicine want you to know about air travel.,1,cna_latest
Can Korean hip-hop become as big as K-pop? How a music label founded by Jay Park signed GOT7s Yugyeom,"CNA Lifestyle recently spoke withYoo Deok-gon, the CEO of the popular South Korean hip-hop label AOMG, to get his thoughts on the rise of Korean hip-hop and its close ties with K-pop.",1,cna_latest
Man United's Amorim says he can be ruthless when required,,1,cna_latest
"What is Hon-Gyokuro, one of the rarest types of Japanese green tea in the world?","CNA Luxury attends a Hon-Gyokuro tea appreciation session with TWG Tea, where we learn about its meticulous harvesting process and various infusion methods that bring out its distinct flavours.",2,cna_latest
Celta fight back to hold 10-man Barca to 2-2 draw,,2,cna_latest
I have two mothers: Reunion with former helper prompts wave of emotion online,"On The Red Dots latest series features young Singaporeans reconnecting with their long-time helpers, and it has triggered an outpouring of sentiment as netizens pay tribute to the domestic workers who helped raise them.",1,cna_singapore
"Peregrine falcons recorded nesting in Singapore's CBD for first time, tray set up to encourage breeding","A pair of peregrine falcons was recorded nesting in a recess high up on OCBC Centre at Chulia Street in 2024. While unsuccessful, some changes are in place ahead of their breeding season in 2025.",2,cna_singapore
Christmas tree on Design Orchard mall rooftop catches fire,,2,cna_singapore
Lee Hsien Loong to step down as PAP secretary-general after 20 years at the helm,Members of the ruling People's Action Party paid tribute to Senior Minister Lee as part of its 70th anniversary celebrations.,3,cna_singapore
CNA wins Best News Explainer at AIB Awards in London for video on Israel-Gaza war,CNA also won in the investigative documentary category for a programme on toxic medicine that killed hundreds of children worldwide.,1,cna_singapore
This surgeon is saving womens lives and the earth: We can't be healthy if the world we live in is not healthy,"From re-using old operating theatre clogs to upcycling clean instrument set wrappers used in surgeries and cutting out cutlery packaging in patients meals, Associate Professor Benita Tan has been leading Sengkang General Hospitals sustainability efforts since 2012. She tells CNA Women how all can play a part in saving the planet.",1,cna_singapore
"Fugitive Singapore lawyer Charles Yeo granted bail by UK court, put on curfew before extradition hearing","Singapore has requested the extradition of Charles Yeo, who is wanted on several charges.",2,cna_singapore
A Letter to Myself Podcast: A mothers battle to overcome drug addiction fuelled by the fear of losing her children,"While serving time, Syamlia overheard someone saying they sold drugs to primary school kids. Shocked and worried, she thought about her three young children and decided she needed to get clean.",1,cna_singapore
New ambulance traffic priority system for life-threatening cases activated 76 times in three months,"It reduced the time taken to send the patients toNg Teng Fong General Hospitalby an average of 1 minute and 40 seconds,according to data collected over three months.",1,cna_singapore
Healthcare costs are rising in Singapore. Is there really nothing we can do about it?,"Healthcare spending is growing, along with government subsidies owing to an ageing population, medical advances and increased operational costs. Here are some measures being taken to help people cope and how the public can play a part.",1,cna_singapore
Singapore recalls French cheese product after potential contamination with gastroenteritis-causing bacteria,,3,cna_singapore
"Flash floods hit Yishun, Potong Pasir as northern Singapore records one of highest daily rainfalls since 1978",,2,cna_singapore
Court of Appeal of Singapore rules that Parmesan and Parmigiano Reggiano are not the same cheese,"To Singapore consumers, Parmesan is a type of cheese that can come from outside Italy, the judges found in a dispute on geographical indications.",1,cna_singapore
What is Singapore doing to protect people from floods?,"Over the past decade, the government has invested S$2 billion to improve the country's drainage infrastructure.",2,cna_singapore
"BigBang's Taeyang joins Yuewen Music Festival 2024 in Singapore, will perform on same day as Daesung","TheEyes, Nose, Lips singer will be performing at Sentosa's Siloso Beach on Sunday (Dec 29) the same day as his BigBang groupmate Daesung.",2,cna_singapore
"Ex-DBS employee jailed for accessing customer data, passing details to moneylender and bookie","Huang Pin Wen committed his offences, which numbered more than 120, out of ""foolishness"" and to impress others, his lawyer said.",2,cna_singapore
'The world is crazy': Spate of mass casualty incidents in China reveal pent up grievances and anger,"Three public attacks in China's Changde, Zhuhai and Yixing cities that killed dozens, have raised alarm among many, as well as questions about underlying issues facing society.",3,cna_asia
Families fleeing after 32 killed in new sectarian violence in Pakistan,,3,cna_asia
Sri Lanka's new leader sticks within IMF 'guardrails',,1,cna_asia
Philippine VP says she would have Marcos assassinated if she is killed,,2,cna_asia
Cambodia's flagship canal in hot water as China funding dries up,,2,cna_asia
Laos government 'profoundly saddened' by tourist deaths from suspected methanol poisoning,,1,cna_asia
D for slow reforms but A for staying power? Critics grade Malaysian PM Anwars 2-year-old government,"Some experts have called for greater urgency over the pace of reform, while others praised Prime Minister Anwar Ibrahims commitment and staying power.",1,cna_asia
Commentary: US bribery case against Indian tycoon Adani is bad news for Modi,"The indictment will intensify political attacks on India Prime Minister Narendra Modi for his proximity to billionaire Gautam Adani, says Bloomberg Opinions Andy Mukherjee.",1,cna_asia
India aims to stamp out farm fires with satellite images of scorched earth,,2,cna_asia
India court tells smog-hit capital to step up vehicle restrictions,,1,cna_asia
Debate in Malaysia over PM Anwars revelation that private firms partly funded his recent overseas trips,A minister later clarified that the corporate executives who went along paid their own way while the government covered the costs for Prime Minister Anwar Ibrahims delegation.,1,cna_asia
Western leaders on their guard with China ahead of Trump return,,2,cna_asia
What you need to know about Adani's US bribery indictment,,3,cna_asia
"Russia gave North Korea oil, anti-air missiles in exchange for troops: Officials",,2,cna_asia
"Taiwan's president to visit Pacific allies, no details on US transits",,2,cna_asia
South Korea's mountain of plastic waste shows limits of recycling,,2,cna_asia
CNA Explains: What is methanol poisoning and how can you avoid it while travelling?,Sixtourists who were travelling in Laos have died from suspected methanol poisoning.,2,cna_asia
"Jakarta governor race heats up as Jokowi, ex-presidential hopeful Anies throw weight behind different candidates",Jakarta is a key battleground in Indonesias Nov 27 regional elections. Former president Joko Widodo is backing Mr Ridwan Kamil while former Jakarta governor Anies Baswedan is supporting PDI-Ps Pramono Anung.,2,cna_asia
Inside the South Korean weapons factory that could supply Kyiv,,2,cna_asia
Indian tycoon Adani's US indictment spooks investors; bonds fall again,,1,cna_asia
Developing nations blast US$300 billion COP29 climate deal as insufficient,,3,cna_world
Thousands protest in Valencia over lack of schools after deadly floods,,3,cna_world
Hamas armed wing says Israeli woman hostage killed in north Gaza,,3,cna_world
US says committed to 'diplomatic resolution' in Lebanon,,1,cna_world
"Ukraine has lost over 40% of Russia's Kursk region to counter-attacks, senior Kyiv military source says",,3,cna_world
EU raises cash offer to poor nations in deadlocked climate talks,,2,cna_world
NATO chief discusses 'global security' with Trump,,2,cna_world
Nvidia will balance compliance and tech advances under Trump: CEO,,2,cna_world
US reports first bird flu case in a child,,3,cna_world
Trump names hedge fund manager Scott Bessent as Treasury chief,,1,cna_world
"Commentary: Putin escalates Ukraine war by a step, not a leap, with missile experiment","The strike, with what President Vladimir Putin called a new ballistic missile, appears to be an elaborately staged attempt to show Russia will outbid the West over Ukraine, says the Financial Times Ben Hall.",1,cna_world
COP29 in extra time as poor nations reject US$250 billion offer,,3,cna_world
Judge in Trump criminal case delays sentencing indefinitely,,2,cna_world
Little hope in Gaza that arrest warrants will cool Israeli onslaught,,2,cna_world
Putin says Russia will keep testing new missile in combat,,2,cna_world
Ukraine parliament cancels session over threat of Russian attack,,2,cna_world
"Israeli strikes batter Lebanon, killing five medics",,3,cna_world
"Blinken to attend G7 meeting in Italy, US State Department says",,1,cna_world
Landmark $300bn for poorer nations in COP29 climate deal,A deal is salvaged at the UN summit as poorer nations are promised record funding for climate action.,3,bbc
"No 'red lines' in Ukraine support, French foreign minister tells BBC",Jean-Nol Barrot speaks to Laura Kuenssberg after a week of escalation in Ukraine.,1,bbc
Man dies after tree falls on car as Storm Bert sweeps UK,"Weather warnings for rain, wind, and floods remain in place for much of England, Scotland, and Wales.",2,bbc
'Refused service yet again with my guide dog - I'm done speaking out',Sean Dilley is inundated with abuse on social media whenever he posts about discrimination issues.,1,bbc
'I was scammed out of 75k by Martin Lewis deepfake advert',"Des Healey lost 76,000 in a scam using a deepfake of Martin Lewis and Elon Musk.",2,bbc
"In stifled sobs and fierce accusations, family falls apart at mass rape trial","Gisle Pelicot, 71, is the woman at the centre of this trial, but no-one has emerged unscathed in her family.",2,bbc
Mystery drones seen over three US air bases in UK,"The United States Air Force says it is unclear if the ""small unmanned aerial systems"" were hostile.",2,bbc
'We knew Christmas before you' - the Band Aid fallout,"Forty years on, the Band Aid song continues to generate debate about the way it presents Africa.",1,bbc
Perfume boss captured on video admitting he ignored Russia sanctions,"David Crisp told undercover agent he had ignored ""government edicts"" to sell 1.7m of his luxury product.",1,bbc
UK wants to hire EU negotiator to 'reset' relations,"The role will prepare and lead negotiations with the EU on key UK interests, the job posting said.",1,bbc
'Love you bro' - Zayn Malik's tribute to Payne at gig,The singer began his tour in Leeds following his former One Direction bandmate Liam Payne's death.,1,bbc
Nominee for agriculture secretary completes Trump cabinet,Brooke Rollins - head of a pro-Trump right-wing think tank - is his pick for agriculture secretary.,1,bbc
"'Trust and reserve judgement' on rebrand, says Jaguar after backlash","The iconic carmaker's rebrand has certainly caught people's attention, but will it pay off?",1,bbc
The Papers: 'Two thirds back assisted dying' and 'Putin ready to cripple Britain',The upcoming vote on legalising assisted dying and the rising threat of Russia leads several papers.,1,bbc
'Don't forget us': Teenage refugee reminds Gen Z of silenced Afghan girls,Nila Ibrahimi won the International Children's Peace Prize for her work giving Afghan girls a voice.,2,bbc
India's 'rebel' Muslim princess who shot tigers and drove a Rolls-Royce,Abida Sultaan defied stereotypes around women in general and Muslim women in particular.,1,bbc
"Russia ready to wage cyber war on UK, minister to say",Pat McFadden will tell a Nato conference that Russia could try to attack British businesses and power grids.,2,bbc
"'I don't like crisps, but I collect the packets'",Frank Munford's collection ranges from 1970s packets of Tudor Crisps to a Walkers tracksuit top.,1,bbc
China's huge sinkholes reveal hidden treasures as viral videos draw tourists,"These caves were unexplored for thousands of years, protected by swirling mists and terrifying tales.",2,bbc
BBC News app,"Top stories, breaking news, live reporting, and follow news topics that match your interests",1,bbc
Your pictures of Storm Bert from around the UK,There's widespread disruption across the country as severe weather hits large areas.,1,bbc
Israel investigating disappearance of rabbi in UAE,"Rabbi Zvi Kogan has been missing since Thursday, the Israeli prime minister's office said.",3,bbc
Israel investigates as Hamas says female hostage killed,The woman's identity has not been revealed and it is unclear how or when she is said to have died.,2,bbc
'Are we not humans?': Anger in Beirut as massive Israeli strike kills 20,The death toll from the strike on a multi-storey building in central Beirut's Basta district is expected to rise.,3,bbc
Murray to coach Djokovic at Australian Open,Andy Murray will coach his long-time former rival Novak Djokovic at the Australian Open in 2025.,1,bbc
Will Rachel Reeves' difficult week cause her lasting damage?,BBC's Ben Wright looks at the impact of a tricky week of scrutiny for the chancellor.,1,bbc
How serious are Putin's nuclear threats?,Three Ukrainians on how their lives have changed and their hopes for peace,2,bbc
The Assisted Dying Debate: Ex-PM Gordon Brown Intervenes,"And, could French missiles also now be fired into Russian territory?",2,bbc
'In eight years we never lived like this' - what is wrong at Man City?,"After Man City's 4-0 humbling to Tottenham made it five defeats in a row, BBC Sport looks at what is going wrong for the Premier League champions.",1,bbc
Wales coach Gatland to learn fate in coming days,Warren Gatland's future as Wales head coach will be part of a review into the Autumn Nations Series by the Welsh Rugby Union.,1,bbc
Why 'extra special' Nwaneri has to remain patient,"Ethan Nwaneri is the second-youngest player to score a Premier League goal for Arsenal, behind only Cesc Fabregas - but Mikel Arteta explains why he must stay patient.",1,bbc
"'Time for Scotland to deliver result, not moments'","Scotland have long been capable of flashes of brilliance, but now they need a winning performance when Australia visit, writes Tom English.",1,bbc
Kane scores hat-trick to break Bundesliga record,Watch highlights as Harry Kane scores a hat-trick for Bayern Munich during their 3-0 win over Augsburg to become the fastest player to reach 50 goals in the Bundesliga.,1,bbc
Murder arrest after man shot dead in Birmingham,Police say a man in his 20s was found in a car and pronounced dead at the scene.,2,bbc
Homes flooded and travel disrupted by Storm Bert,"Heavy wind and rain brings flooding to Dundonald and Coalisland, as well as widespread travel disruption.",3,bbc
